LOCATION,ADDRESS,the_geom,event_time,duration,end_time,openclose
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-26T10:00:00,28800.0,2016-10-26T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-26T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-27T10:00:00,28800.0,2016-10-27T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-27T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-28T10:00:00,28800.0,2016-10-28T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-28T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-29T10:00:00,28800.0,2016-10-29T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-29T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-30T11:00:00,18000.0,2016-10-30T16:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-30T16:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-31T10:00:00,28800.0,2016-10-31T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-31T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-01T10:00:00,28800.0,2016-11-01T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-01T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-02T10:00:00,28800.0,2016-11-02T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-02T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-03T09:00:00,36000.0,2016-11-03T19:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-03T19:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-04T09:00:00,36000.0,2016-11-04T19:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-11-04T19:00:00,,,-1
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,2016-10-22T10:00:00,28800.0,2016-10-22T18:00:00,1
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,2016-10-22T18:00:00,,,-1
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,2016-10-23T11:00:00,18000.0,2016-10-23T16:00:00,1
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,2016-10-23T16:00:00,,,-1
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,2016-10-24T10:00:00,28800.0,2016-10-24T18:00:00,1
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,2016-10-24T18:00:00,,,-1
